datetime	0	0.5	1	1.5	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
2013-04-28 15:00:00	6.558813559	5.705084746	5.516101695	5.561	5.581833333	5.299666667	5.012881356	5.091016949	4.967288136	4.81559322	4.712033898	4.704666667	4.749166667	4.653333333	4.723050847	4.606949153	4.639322034	4.746440678	4.661	4.589333333	4.692833333	4.581355932	4.541694915
2013-04-28 16:00:00	8.068	5.9815	5.5135	5.526779661	5.567627119	5.314745763	5.012881356	5.098983051	4.8815	4.7575	4.690666667	4.699491525	4.714745763	4.64220339	4.738474576	4.6285	4.674	4.756666667	4.653559322	4.575254237	4.656610169	4.550677966	4.519322034
2013-04-28 17:00:00	9.310169492	6.015423729	5.564915254	5.509491525	5.503333333	5.291833333	4.990666667	5.082333333	4.915423729	4.821016949	4.743220339	4.760677966	4.7795	4.6695	4.759666667	4.635423729	4.709830508	4.797627119	4.685762712	4.591355932	4.684	4.558666667	4.511333333
2013-04-28 18:00:00	10.64610169	6.400833333	5.7735	5.701	5.587966102	5.242542373	4.934745763	5.050847458	4.97440678	4.892833333	4.807	4.797666667	4.786949153	4.681525424	4.766610169	4.642542373	4.701694915	4.781833333	4.68	4.598166667	4.688983051	4.565084746	4.514067797
2013-04-28 19:00:00	12.0015	6.889491525	5.654915254	5.608983051	5.586779661	5.253559322	5.016166667	5.0535	4.8615	4.883559322	4.704576271	4.69779661	4.725254237	4.646779661	4.718	4.630666667	4.659666667	4.747457627	4.661355932	4.587966102	4.655254237	4.553666667	4.520666667
2013-04-28 20:00:00	13.50423729	7.708813559	5.908474576	5.673666667	5.5415	5.241833333	4.902372881	4.823559322	4.661525424	4.633559322	4.590677966	4.619833333	4.688666667	4.605166667	4.704067797	4.62779661	4.677118644	4.754237288	4.799166667	4.640833333	4.696666667	4.598983051	4.557457627
2013-04-28 21:00:00	13.31083333	7.580166667	6.217333333	5.720169492	5.551694915	5.177118644	4.766779661	4.760677966	4.597666667	4.6185	4.590166667	4.620508475	4.685254237	4.604745763	4.701016949	4.629333333	4.679166667	4.755	4.653050847	4.589322034	4.694915254	4.596949153	4.563728814
2013-04-28 22:00:00	12.48728814	7.140338983	6.351186441	5.852033898	5.612166667	5.208666667	4.821333333	4.852666667	4.639152542	4.626440678	4.591016949	4.618305085	4.689	4.611166667	4.707666667	4.629830508	4.683898305	4.763220339	4.664915254	4.59	4.6995	4.606666667	4.572166667
2013-04-28 23:00:00	12.27050847	7.332	6.485	6.014333333	5.630508475	5.233389831	4.917288136	4.93779661	4.76559322	4.675333333	4.622666667	4.645666667	4.696949153	4.646949153	4.74	4.632542373	4.687118644	4.796666667	4.681	4.6075	4.707118644	4.607288136	4.577966102
2013-04-29 00:00:00	11.91533333	7.321016949	6.412033898	6.017457627	5.63440678	5.242711864	4.952	4.986666667	4.884666667	4.825932203	4.766949153	4.783559322	4.791525424	4.662372881	4.763333333	4.6835	4.737	4.826101695	4.73559322	4.649661017	4.732542373	4.612166667	4.578333333
